"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 29, 2018","New Jersey",Paterson,"Ellison St and Summer St",0,1,N/A
"August 29, 2018","New Mexico","Santa Fe","4250 Cerrillos Rd",0,1,N/A
"August 28, 2018",Georgia,Hephzibah,"Crosscreek Rd",0,1,N/A
"August 28, 2018",Georgia,Atlanta,"3221 Martin Luther King Jr Dr SW",1,1,N/A
"August 28, 2018",Georgia,Greensboro,"1090 Jones Bluff Court",1,0,N/A
"August 28, 2018",Alabama,Mobile,"Jessie St and Collins Ave",0,1,N/A
"August 28, 2018",Tennessee,Memphis,"Oakwood St",1,0,N/A
"August 28, 2018",Colorado,Denver,"1350 E 33rd Ave",0,1,N/A
"August 28, 2018",Missouri,"Saint Louis","3900 block of S Grand Blvd",0,1,N/A
"August 28, 2018",Arizona,Glendale,"59th and Peoria avenue",0,1,N/A
"August 28, 2018",Tennessee,Jackson,"2800 Christmasville Rd",0,1,N/A
"August 28, 2018",Tennessee,Ooltewah,"Blue Bell Ave",0,1,N/A
"August 28, 2018",Virginia,Lynchburg,"3020 Wards Ferry Rd",0,0,N/A
"August 28, 2018",Tennessee,Maryville,"808 Beaver Drive",1,0,N/A
"August 28, 2018",Louisiana,Shreveport,"500 block of W 29th St",0,0,N/A
"August 28, 2018",Louisiana,Shreveport,"300 block of Mayfair Dr",0,0,N/A
"August 28, 2018",Kentucky,Lexington,"Gunn St and Elm Tree Ln",0,1,N/A
"August 28, 2018",Louisiana,Shreveport,"400 block of Mohawk Trail",0,0,N/A
"August 28, 2018",Virginia,"Pennington Gap","114 Virginia Avenue",1,0,N/A
"August 28, 2018",Oregon,"Myrtle Point","521 Willow St",0,0,N/A
"August 28, 2018",Massachusetts,Springfield,"King St and Hancock St",0,0,N/A
"August 28, 2018",Louisiana,"Bossier City","5300 block of Susanna Dr",0,1,N/A
"August 28, 2018",Kansas,"Saint John (Seward)",N/A,1,1,N/A
"August 28, 2018",Kentucky,Louisville,"2300 block of Millers Ln",0,2,N/A
"August 28, 2018",Pennsylvania,"Hopewell Township","Yale Ave and Webb St",0,0,N/A
"August 28, 2018",Pennsylvania,Philadelphia,"2800 block of N 26th St",0,1,N/A
"August 28, 2018",Kansas,"Kansas City","N 11th St and Freeman Ave",1,0,N/A
"August 28, 2018",Pennsylvania,Philadelphia,"6th Ave and Erie Ave",1,0,N/A
"August 28, 2018",Florida,Miami,"NE 211th Terrace and 13th Pl",0,1,N/A
"August 28, 2018",Florida,Lakeside,"Northglen Cir",0,1,N/A
"August 28, 2018",Florida,Gainesville,"NW 14th St",0,0,N/A
"August 28, 2018",Maryland,Baltimore,"500 block of N Curley St",0,1,N/A
"August 28, 2018",Kansas,Mankato,"307 N Commercial St",1,2,N/A
"August 28, 2018",Indiana,"Putnam (county)",I-70,0,0,N/A
"August 28, 2018",Missouri,"Saint Louis (Pagedale)","Kingsland Ave",0,1,N/A
"August 28, 2018",Illinois,Chicago,"2700 block of S Kedvale Ave",0,1,N/A
"August 28, 2018",Pennsylvania,Canonsburg,"400 block of Linden Rd",0,0,N/A
"August 28, 2018",Illinois,Chicago,"2500 block of W 115th St",0,0,N/A
"August 28, 2018","New Jersey",Camden,"2311 Federal St",1,0,N/A
"August 28, 2018",Illinois,Chicago,"5700 block of S Hermitage Ave",0,1,N/A
"August 28, 2018",Maryland,Baltimore,"5400 block of Moores Run Dr",0,1,N/A
"August 28, 2018",Maryland,Baltimore,"1700 block of W Mulberry St",0,1,N/A
"August 28, 2018","District of Columbia",Washington,"4506 Quarles St NE",0,1,N/A
"August 28, 2018",Maryland,Baltimore,"1200 block of W Ostend St",0,2,N/A
"August 28, 2018",Maryland,Baltimore,"2900 block of Edgewood St",1,0,N/A
"August 28, 2018",Delaware,Dover,"629 Buckson Dr",1,0,N/A
"August 28, 2018",Delaware,Harbeson,"22000 block of Harbeson Rd",1,0,N/A
"August 28, 2018","District of Columbia",Washington,"4700 block of 3rd St NW",0,3,N/A
"August 28, 2018",Pennsylvania,Philadelphia,"5100 block of Funston St",0,1,N/A
"August 28, 2018",Ohio,Columbus,"1800 block of S 5th St",0,2,N/A
"August 28, 2018",Ohio,Akron,"226 E Cuyahoga Falls Ave",1,1,N/A
"August 28, 2018",Ohio,Cincinnati,N/A,0,1,N/A
"August 28, 2018",Pennsylvania,Philadelphia,"1600 block of S Marston St",0,3,N/A
"August 28, 2018","New York","Mount Vernon","Oak St and N Terrace Ave",0,2,N/A
"August 28, 2018","New York","Mount Vernon","240 S Seventh Ave",1,0,N/A
"August 28, 2018",Michigan,Aurelius,"Edgar Rd and Columbia Rd",0,0,N/A
"August 28, 2018",Michigan,"Ann Arbor","2000 block of Sorrento Ave",1,0,N/A
"August 28, 2018",Wisconsin,"Oak Creek","8th St and American Ave",0,1,N/A
"August 28, 2018",Nevada,"Las Vegas","1500 block of N Eastern Ave",1,0,N/A
"August 28, 2018",Texas,Houston,"16510 North Fwy",0,1,N/A
"August 28, 2018",Texas,Houston,"15900 block of Oakendell Dr",0,1,N/A
"August 28, 2018",Texas,Houston,"9800 Centre Pkwy",0,1,N/A
"August 28, 2018","New York",Ogdensburg,"NY 812",0,0,N/A
"August 28, 2018","North Carolina",Tarboro,"N Main St",0,0,N/A
"August 28, 2018","South Carolina","Rock Hill","825 Riverview Rd",0,1,N/A
"August 28, 2018","North Carolina",Vale,"NC 274",0,0,N/A
"August 28, 2018",Massachusetts,Medford,N/A,0,0,N/A
"August 28, 2018",Nevada,"Las Vegas","7200 block of Breakfast Hill St",0,0,N/A
"August 28, 2018",Connecticut,Bridgeport,"Highland Ave",0,0,N/A
"August 28, 2018",Nevada,"Las Vegas","6375 W Charleston Blvd",0,1,N/A
"August 28, 2018",Massachusetts,Lynn,"Hollingsworth St and Rock Ave",0,0,N/A
"August 28, 2018",Mississippi,Greenville,"800 block of Nelson St",1,2,N/A
"August 28, 2018",Mississippi,Columbus,"100 block of Lincoln Rd",0,1,N/A
"August 28, 2018",Mississippi,Cleveland,N/A,0,1,N/A
"August 28, 2018",Nevada,"Las Vegas","8100 W Robindale Rd",0,0,N/A
"August 28, 2018",Georgia,Savannah,"400 block of W Waldburg St",0,1,N/A
"August 28, 2018",Arkansas,"Little Rock","Pine Cone Dr and Reck Rd",0,0,N/A
"August 28, 2018",Arkansas,"Pine Bluff","2800 block of W 40th St",1,0,N/A
"August 28, 2018",Arizona,Phoenix,"8950 N Central Ave",1,0,N/A
"August 27, 2018",Oklahoma,Tulsa,"5328 S Wheeling Ave",0,0,N/A
"August 27, 2018",Arizona,Phoenix,"39th Ave and Bell Rd",1,2,N/A
"August 27, 2018",Alabama,Opelika,"500 block of N Antioch Cir",0,0,N/A
"August 27, 2018",Alabama,Opelika,"300 block of Hurst St",0,0,N/A
"August 27, 2018",Alabama,"Birmingham (Irondale)","1600 Montclair Rd",0,1,N/A
"August 27, 2018",Alabama,"Owens Cross Roads","237 Wade Rd",1,0,N/A
"August 27, 2018",Louisiana,"New Orleans","Martin Luther King Blvd and S Liberty St",0,1,N/A
"August 27, 2018","North Carolina",Fayetteville,N/A,0,0,N/A
"August 27, 2018",Alabama,Fairhope,"12000 block of Co Rd 32",0,1,N/A
"August 27, 2018",Massachusetts,Boston,"570 Dudley St",0,1,N/A
"August 27, 2018",Vermont,Woodbury,N/A,0,0,N/A
"August 27, 2018",Wisconsin,Madison,"Morrow Ct",0,0,N/A
"August 27, 2018",Massachusetts,Cambridge,"400 Memorial Dr",0,0,N/A
"August 27, 2018","New York",Schenectady,"1127 Sixth Ave",0,1,N/A
"August 27, 2018",Massachusetts,Boston,"516 Columbia Rd",0,0,N/A
"August 27, 2018",Massachusetts,Worcester,"63 Lincoln St",0,0,N/A
"August 27, 2018",Oklahoma,Tulsa,"4020 S 130th East Ave",0,2,N/A
"August 27, 2018",Massachusetts,Worcester,"17 Queens St",0,0,N/A
"August 27, 2018",Oklahoma,Mcalester,"401 N B St",0,0,N/A
"August 27, 2018",Oklahoma,Shawnee,"N Broadway Ave and W Dewey St",1,0,N/A
"August 27, 2018",Oklahoma,Tulsa,N/A,0,1,N/A
"August 27, 2018",Iowa,Waterloo,"715 Mulberry St",0,0,N/A
"August 27, 2018",Ohio,Cincinnati,"552 Oliver St",0,3,N/A
"August 27, 2018",Virginia,Norfolk,"100 block of Glendale Ave",0,1,N/A
"August 27, 2018",Massachusetts,Dartmouth,"Rogers St",0,0,N/A
